"N03_007",,,"総数","300万円未満","300～500","500～700","700～1000","1000万円以上"
"13105",,"文京区","115,210","29,310","27,590","16,240","13,660","17,640"
"13106",,"台東区","100,030","30,240","24,860","15,160","12,990","8,360"
"13107",,"墨田区","124,530","39,040","32,670","20,600","12,960","6,840"
"13108",,"江東区","234,340","67,260","55,280","40,260","33,430","22,660"
"13109",,"品川区","198,710","52,130","47,130","30,550","28,000","23,770"
"13110",,"目黒区","138,370","29,900","31,220","21,570","19,090","19,870"
"13111",,"大田区","352,220","100,850","98,240","53,290","40,370","27,860"
"13112",,"世田谷区","451,770","93,790","93,760","52,830","48,450","57,530"
"13113",,"渋谷区","122,720","31,440","26,870","16,690","14,280","18,420"
"13114",,"中野区","181,660","67,290","45,440","22,620","16,420","12,930"
"13115",,"杉並区","303,800","90,620","76,780","38,940","32,390","29,660"
"13116",,"豊島区","161,960","50,740","38,970","24,960","14,460","18,510"
